area_type,availability,location,size,bath,balcony,total_m2,price_mDT
Super built-up  Area,19-Dec,hammamet,2 BHK,2,1,98.1024,421.0905035
Plot  Area,Ready To Move,mhamdya,4 Bedroom,5,3,241.54,1293.341705
Built-up  Area,Ready To Move,siida,3 BHK,2,3,133.776,668.2265477
Super built-up  Area,Ready To Move,aala,3 BHK,3,1,141.3009,1023.895517
Super built-up  Area,Ready To Move,kerouon sud,2 BHK,2,1,111.48,549.6702247
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,1,108.693,409.5582066
Super built-up  Area,18-May,sidi ali ben oun,4 BHK,4,,253.8028,2198.680899
Super built-up  Area,Ready To Move,fawar,4 BHK,4,,306.57,6466.708526
Super built-up  Area,Ready To Move,kalaa khasba,3 BHK,3,1,121.699,681.6988571
Plot  Area,Ready To Move,GANDHI BAZAR,6 Bedroom,6,,94.758,3987.803591
Super built-up  Area,18-Feb,hesi farid,3 BHK,2,2,167.22,754.449328
Plot  Area,Ready To Move,hesi farid,4 Bedroom,5,3,258.7265,3179.465025
Super built-up  Area,Ready To Move,wardya,2 BHK,2,1,92.9,409.5582066
Built-up  Area,Ready To Move,mestir,2 BHK,2,2,102.19,431.1139017
Plot  Area,Ready To Move,fariena,3 Bedroom,3,2,209.025,1595.121436
Super built-up  Area,Ready To Move,tataouin nord,2 BHK,2,2,109.1575,792.1717944
Super built-up  Area,Ready To Move,hay tadhamen,3 BHK,3,2,109.622,517.3366821
Super built-up  Area,Ready To Move,manzel hbib,3 BHK,3,3,143.066,646.6708526
Super built-up  Area,Ready To Move,RAMAKRISHNAPPA LAYOUT,3 BHK,4,2,257.333,3125.575787
Super built-up  Area,Ready To Move,MANAYATA TECH PARK,2 BHK,2,2,102.19,517.3366821
Built-up  Area,Ready To Move,hazwa,1 BHK,1,1,55.74,161.6677131
Super built-up  Area,19-Dec,ariana lemdina,3 BHK,3,1,163.0395,1314.8974
Plot  Area,Ready To Move,bradeaa,4 Bedroom,5,2,260.12,4095.582066
Super built-up  Area,Ready To Move,sfax lemdina,3 BHK,3,1,164.1543,1110.118297
Super built-up  Area,18-Nov, THANISANDRA,1 RK,1,0,47.379,272.1406505
Super built-up  Area,18-May,MANGAMMANAPALYA,3 BHK,3,2,116.125,603.5594624
Super built-up  Area,Ready To Move,l mida,2 BHK,1,1,61.314,248.9682782
Built-up  Area,20-Dec,hesi farid,3 BHK,3,2,149.569,873.005651
Super built-up  Area,17-Oct,gubeli sud,2 BHK,2,2,106.9279,525.6356247
Super built-up  Area,Ready To Move,l mida,3 BHK,2,1,95.2225,506.5588345
Super built-up  Area,19-Dec,fousena,4 BHK,4,0,229.9275,2004.679643
Super built-up  Area,Ready To Move,hay tadhamen,3 BHK,2,1,99.8675,377.224664
Super built-up  Area,Ready To Move,jarzouna,3 BHK,2,2,163.504,1325.675248
Super built-up  Area,Ready To Move,manzel hbib,3 BHK,3,3,157.2797,618.5406705
Built-up  Area,Ready To Move,hemma jrid,3 BHK,3,,178.8325,1347.230943
Super built-up  Area,21-Dec,aamdoun,2 BHK,2,1,65.03,388.0025115
Super built-up  Area,Ready To Move,dar chaaben fehri,2 BHK,2,1,99.403,490.3920632
Super built-up  Area,Ready To Move,hafouz,3 BHK,3,2,160.1596,1347.230943
Super built-up  Area,Ready To Move,ben arous,3 BHK,2,2,119.841,604.8528041
Built-up  Area,Ready To Move,siida,2 BHK,2,2,106.1847,485.0031394
Built-up  Area,Ready To Move,tataouin sud,2 BHK,2,,120.3984,873.005651
Super built-up  Area,19-Dec,tela,3 BHK,3,2,116.4966,409.5582066
Super built-up  Area,Ready To Move,GANGA NAGAR,1 BHK,1,0,55.74,409.5582066
Plot  Area,Ready To Move,fousena,1 Bedroom,1,0,61.314,517.3366821
Super built-up  Area,19-Sep,aamdoun,2 BHK,2,2,123.625746,989.298626
Plot  Area,Ready To Move,benzert sud,8 Bedroom,9,,55.74,2155.569509
Super built-up  Area,Ready To Move,bouaarkoub,2 BHK,2,0,90.113,355.6689689
Super built-up  Area,20-Sep,hesi farid,2 BHK,2,1,135.5411,1021.955504
Plot  Area,Ready To Move,makther,2 Bedroom,1,1,74.32,1401.120181
Built-up  Area,Ready To Move,HIMAGIRI MEADOWS,2 BHK,2,1,80.7301,388.0025115
Super built-up  Area,Ready To Move,ADARSH NAGAR,2 BHK,2,1,117.983,538.8923772
Super built-up  Area,18-Mar,mehres,3 BHK,3,1,155.143,1067.006907
Built-up  Area,Ready To Move,hesi farid,3 BHK,3,2,186.729,980.7841264
Super built-up  Area,Ready To Move,nasrallah,2 BHK,2,2,110.0865,808.3385657
Super built-up  Area,Ready To Move,fousena,3 BHK,2,3,148.64,808.3385657
Super built-up  Area,Ready To Move,sfax ouest,2 BHK,2,2,111.48,474.2252919
Built-up  Area,20-Feb,mogrin,4 Bedroom,,,298.209,2069.346728
Super built-up  Area,Ready To Move,RAMAKRISHNAPPA LAYOUT,2 BHK,2,2,139.35,1993.901795
Plot  Area,Ready To Move,tataouin sud,6 Bedroom,4,1,130.7103,1616.677131
Super built-up  Area,Ready To Move,GOVINDARAJA NAGAR WARD,2 BHK,2,2,78.036,485.0031394
Plot  Area,Ready To Move,THARABANAHALLI,3 Bedroom,3,2,408.2955,2586.68341
Super built-up  Area,Ready To Move,GANGA NAGAR,2 BHK,2,1,78.5005,592.7816149
Plot  Area,Ready To Move,hesi farid,4 Bedroom,5,3,529.53,7005.600903
Built-up  Area,Ready To Move,bir hafye,2 BHK,2,2,107.764,474.2252919
Built-up  Area,Ready To Move,rouad,8 Bedroom,8,0,278.7,1508.898656
